baseline,domain,count,safety_violations,composite_mean,composite_std,detection_mean,detection_std,root_cause_mean,root_cause_std,intervention_mean,intervention_std,evidence_mean,evidence_std,calibration_mean,calibration_std,efficiency_mean,efficiency_std
noop,bioprocess,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,hvac,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,manufacturing,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,microservice,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,water_grid,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
oracle,bioprocess,500,0,0.992049,0.001127,1.0,0.0,1.0,0.0,0.984318,0.003757,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,hvac,500,0,0.987171,0.002217,1.0,0.0,1.0,0.0,0.968059,0.007389,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,manufacturing,500,0,0.990281,0.001526,1.0,0.0,1.0,0.0,0.978427,0.005086,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,microservice,500,0,0.990771,0.001384,1.0,0.0,1.0,0.0,0.980058,0.004612,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,water_grid,500,0,0.991541,0.001204,1.0,0.0,1.0,0.0,0.982626,0.004013,1.0,0.0,0.9999,0.0,0.967633,0.0
random,bioprocess,500,193,0.461521,0.148475,0.537537,0.395762,0.442,0.32814,0.222533,0.321305,0.474857,0.135151,0.682562,0.212874,0.949917,0.0
random,hvac,500,217,0.466019,0.137191,0.562111,0.397395,0.507667,0.301177,0.200018,0.31107,0.469714,0.136805,0.658053,0.219174,0.949917,0.0
random,manufacturing,500,214,0.453637,0.137883,0.592896,0.387352,0.440067,0.331182,0.177181,0.320094,0.479429,0.133498,0.671213,0.213927,0.949917,0.0
random,microservice,500,207,0.484598,0.143236,0.575658,0.386912,0.520267,0.302894,0.248792,0.314289,0.462286,0.138822,0.673448,0.217007,0.949917,0.0
random,water_grid,500,207,0.48066,0.144108,0.576987,0.396358,0.473733,0.316029,0.254476,0.322148,0.473714,0.135537,0.664981,0.21281,0.949917,0.0
threshold,bioprocess,500,0,0.680653,0.219903,0.50909,0.136836,0.7032,0.345933,0.500617,0.43054,0.888889,0.0,0.822893,0.061402,0.978417,0.0
threshold,hvac,500,0,0.85188,0.050783,0.562003,0.16744,1.0,0.0,0.829302,0.086252,0.888889,0.0,0.876135,0.007629,0.978417,0.0
threshold,manufacturing,500,0,0.783046,0.158789,0.753944,0.128057,0.728,0.283107,0.700199,0.257616,0.888889,0.0,0.831196,0.072726,0.978417,0.0
threshold,microservice,500,0,0.806185,0.149097,0.842965,0.081975,0.725733,0.283188,0.726252,0.243814,0.888889,0.0,0.855436,0.074397,0.978417,0.0
threshold,water_grid,500,0,0.681544,0.1257,0.508569,0.120333,0.645266,0.27419,0.550429,0.218682,0.888889,0.0,0.799018,0.057801,0.978417,0.0
topology_rca,bioprocess,500,0,0.864145,0.066359,0.50909,0.136836,0.9902,0.082243,0.819661,0.117788,1.0,0.0,0.967774,0.042951,0.970658,0.0
topology_rca,hvac,500,0,0.877773,0.052539,0.562003,0.16744,1.0,0.0,0.829302,0.086252,1.0,0.0,0.976163,0.021713,0.970658,0.0
topology_rca,manufacturing,500,0,0.794057,0.165635,0.753944,0.128057,0.728,0.283107,0.700199,0.257616,0.9732,0.06813,0.822601,0.182452,0.970658,0.0
topology_rca,microservice,500,0,0.800325,0.147767,0.842965,0.081975,0.725733,0.283188,0.726252,0.243814,0.8968,0.099949,0.79272,0.209892,0.970658,0.0
topology_rca,water_grid,500,0,0.733121,0.197847,0.508569,0.120333,0.801667,0.270283,0.547714,0.404782,1.0,0.0,0.851227,0.152619,0.970658,0.0
