baseline,seed,count,safety_violations,composite_mean,composite_std,detection_mean,detection_std,root_cause_mean,root_cause_std,intervention_mean,intervention_std,evidence_mean,evidence_std,calibration_mean,calibration_std,efficiency_mean,efficiency_std
noop,0,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,1,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,2,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,3,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,4,500,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
oracle,0,500,0,0.990234,0.002397,1.0,0.0,1.0,0.0,0.97827,0.007989,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,1,500,0,0.990281,0.002414,1.0,0.0,1.0,0.0,0.978425,0.008047,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,2,500,0,0.990387,0.002355,1.0,0.0,1.0,0.0,0.978778,0.007849,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,3,500,0,0.990533,0.002177,1.0,0.0,1.0,0.0,0.979264,0.007255,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,4,500,0,0.990378,0.002135,1.0,0.0,1.0,0.0,0.978749,0.007118,1.0,0.0,0.9999,0.0,0.967633,0.0
random,0,500,209,0.462899,0.142512,0.572005,0.389729,0.483867,0.322934,0.201187,0.304104,0.469714,0.136805,0.659649,0.228169,0.949917,0.0
random,1,500,215,0.465039,0.137281,0.562499,0.389586,0.468867,0.304896,0.214269,0.317905,0.459429,0.139485,0.671368,0.214852,0.949917,0.0
random,2,500,196,0.475602,0.146735,0.574406,0.400351,0.4614,0.314983,0.248669,0.331805,0.474286,0.135346,0.6697,0.203192,0.949917,0.0
random,3,500,202,0.471772,0.145122,0.552371,0.391089,0.492933,0.320352,0.221249,0.321963,0.473714,0.135537,0.669043,0.219755,0.949917,0.0
random,4,500,216,0.471124,0.14137,0.583909,0.394502,0.476667,0.32465,0.217626,0.317431,0.482857,0.132141,0.680498,0.209321,0.949917,0.0
threshold,0,500,0,0.759283,0.163456,0.629786,0.185782,0.760733,0.293875,0.659372,0.293123,0.888889,0.0,0.83682,0.064185,0.978417,0.0
threshold,1,500,0,0.754711,0.168135,0.630995,0.189068,0.751133,0.295787,0.650452,0.300044,0.888889,0.0,0.835241,0.067053,0.978417,0.0
threshold,2,500,0,0.764131,0.159914,0.635291,0.187307,0.766,0.290799,0.668969,0.284147,0.888889,0.0,0.837715,0.064527,0.978417,0.0
threshold,3,500,0,0.76758,0.169411,0.653098,0.181068,0.7656,0.294058,0.671417,0.303563,0.888889,0.0,0.838954,0.065801,0.978417,0.0
threshold,4,500,0,0.757603,0.168432,0.6274,0.200903,0.758733,0.293851,0.656589,0.298935,0.888889,0.0,0.835948,0.066501,0.978417,0.0
topology_rca,0,500,0,0.807802,0.147676,0.629786,0.185782,0.839667,0.255973,0.714232,0.269194,0.9772,0.063562,0.874854,0.166647,0.970658,0.0
topology_rca,1,500,0,0.817634,0.144749,0.630995,0.189068,0.856933,0.246556,0.732603,0.261448,0.9732,0.06813,0.887708,0.157198,0.970658,0.0
topology_rca,2,500,0,0.812537,0.147555,0.635291,0.187307,0.845867,0.252161,0.722538,0.268452,0.9756,0.065457,0.879033,0.163604,0.970658,0.0
topology_rca,3,500,0,0.824704,0.147594,0.653098,0.181068,0.860667,0.245537,0.742079,0.269629,0.972,0.069397,0.891169,0.159798,0.970658,0.0
topology_rca,4,500,0,0.806744,0.150821,0.6274,0.200903,0.842467,0.253874,0.711676,0.276811,0.972,0.069397,0.877721,0.163228,0.970658,0.0
