system,original_condition,neutral_condition,n,n_deg,original_composite,neutral_composite,delta_composite,original_detection,neutral_detection,delta_detection,original_root_cause,neutral_root_cause,delta_root_cause,original_intervention,neutral_intervention,delta_intervention,original_evidence,neutral_evidence,delta_evidence,original_calibration,neutral_calibration,delta_calibration,original_efficiency,neutral_efficiency,delta_efficiency,original_safety_violations,neutral_safety_violations,delta_safety_violations,domain
threshold,original,neutral-identifiers,200,0,0.722086,0.600086,-0.122,0.501644,0.501644,0.0,0.7795,0.46,-0.3195,0.587146,0.402479,-0.184667,0.888889,0.888889,0.0,0.836205,0.809205,-0.027,0.978417,0.978417,0.0,0.0,0.0,0.0,bioprocess
gemma4:26b,original,neutral-identifiers,200,0,0.942241,0.929982,-0.012259,0.893824,0.925898,0.032074,1.0,1.0,0.0,0.95854,0.966303,0.007763,0.871826,0.73877,-0.133056,0.993966,0.99215,-0.001816,0.904354,0.911764,0.00741,0.0,0.0,0.0,bioprocess
threshold,original,neutral-identifiers,200,0,0.850377,0.696472,-0.153905,0.557406,0.557406,0.0,1.0,0.566,-0.434,0.826617,0.621535,-0.205082,0.888889,0.888889,0.0,0.876055,0.820255,-0.0558,0.978417,0.978417,0.0,0.0,0.0,0.0,hvac
gemma4:26b,original,neutral-identifiers,200,0,0.934441,0.91112,-0.023321,0.909308,0.827465,-0.081843,1.0,1.0,0.0,0.944816,0.924651,-0.020165,0.837393,0.801083,-0.03631,0.9859,0.9845,-0.0014,0.904011,0.909923,0.005912,0.0,0.0,0.0,hvac
threshold,original,neutral-identifiers,200,0,0.771323,0.740423,-0.0309,0.742996,0.742996,0.0,0.708166,0.553666,-0.1545,0.681356,0.681356,0.0,0.888889,0.888889,0.0,0.826586,0.826586,0.0,0.978417,0.978417,0.0,0.0,0.0,0.0,manufacturing
gemma4:26b,original,neutral-identifiers,200,0,0.923084,0.817194,-0.10589,0.9386,0.928856,-0.009744,1.0,0.553666,-0.446334,0.936951,0.936168,-0.000783,0.740119,0.659623,-0.080496,0.9937,0.9633,-0.0304,0.908211,0.910085,0.001874,0.0,0.0,0.0,manufacturing
threshold,original,neutral-identifiers,200,0,0.808344,0.712454,-0.09589,0.842679,0.842679,0.0,0.730833,0.588333,-0.1425,0.729664,0.505032,-0.224632,0.888889,0.888889,0.0,0.857012,0.857012,0.0,0.978417,0.978417,0.0,0.0,0.0,0.0,microservice
gemma4:26b,original,neutral-identifiers,200,0,0.914692,0.919935,0.005243,0.895817,0.924422,0.028605,1.0,0.988,-0.012,0.938386,0.945048,0.006662,0.723909,0.742262,0.018353,0.99375,0.9805,-0.01325,0.908426,0.909795,0.001369,0.0,3.0,3.0,microservice
threshold,original,neutral-identifiers,200,0,0.816455,0.679076,-0.137379,0.507228,0.507228,0.0,0.9405,0.553666,-0.386834,0.78316,0.599518,-0.183642,0.888889,0.888889,0.0,0.861482,0.812282,-0.0492,0.978417,0.978417,0.0,0.0,0.0,0.0,water_grid
gemma4:26b,original,neutral-identifiers,200,0,0.956543,0.957275,0.000732,1.0,1.0,0.0,1.0,1.0,0.0,0.982674,0.982674,0.0,0.813829,0.817778,0.003949,0.994035,0.9889,-0.005135,0.90263,0.909157,0.006527,0.0,0.0,0.0,water_grid
threshold,original,neutral-identifiers,1000,0.0,0.793717,0.685702,-0.108015,0.630391,0.630391,0.0,0.8318,0.544333,-0.287467,0.721589,0.561984,-0.159605,0.888889,0.888889,0.0,0.851468,0.825068,-0.0264,0.978417,0.978417,0.0,0.0,0.0,0.0,aggregate
gemma4:26b,original,neutral-identifiers,1000,0.0,0.9342,0.907101,-0.027099,0.92751,0.921328,-0.006182,1.0,0.908333,-0.091667,0.952273,0.950969,-0.001305,0.797415,0.751903,-0.045512,0.99227,0.98187,-0.0104,0.905526,0.910145,0.004618,0.0,3.0,3.0,aggregate
