system,original_condition,neutral_condition,n,n_deg,original_composite,neutral_composite,delta_composite,original_detection,neutral_detection,delta_detection,original_root_cause,neutral_root_cause,delta_root_cause,original_intervention,neutral_intervention,delta_intervention,original_evidence,neutral_evidence,delta_evidence,original_calibration,neutral_calibration,delta_calibration,original_efficiency,neutral_efficiency,delta_efficiency,original_safety_violations,neutral_safety_violations,delta_safety_violations,domain
threshold,original,neutral-identifiers,200,0,0.722086,0.600086,-0.122,0.501644,0.501644,0.0,0.7795,0.46,-0.3195,0.587146,0.402479,-0.184667,0.888889,0.888889,0.0,0.836205,0.809205,-0.027,0.978417,0.978417,0.0,0.0,0.0,0.0,bioprocess
gemma4:26b,original,neutral-identifiers,200,0,0.945584,0.933075,-0.012509,0.908202,0.898251,-0.009951,1.0,1.0,0.0,0.962022,0.959521,-0.002501,0.872996,0.802778,-0.070218,0.993942,0.992,-0.001942,0.904039,0.908647,0.004608,0.0,0.0,0.0,bioprocess
threshold,original,neutral-identifiers,200,0,0.850377,0.696472,-0.153905,0.557406,0.557406,0.0,1.0,0.566,-0.434,0.826617,0.621535,-0.205082,0.888889,0.888889,0.0,0.876055,0.820255,-0.0558,0.978417,0.978417,0.0,0.0,0.0,0.0,hvac
gemma4:26b,original,neutral-identifiers,200,0,0.938241,0.920214,-0.018027,0.929216,0.844055,-0.085161,1.0,1.0,0.0,0.949709,0.928752,-0.020957,0.832524,0.838639,0.006115,0.9882,0.98455,-0.00365,0.902478,0.907292,0.004814,0.0,0.0,0.0,hvac
threshold,original,neutral-identifiers,200,0,0.771323,0.740423,-0.0309,0.742996,0.742996,0.0,0.708166,0.553666,-0.1545,0.681356,0.681356,0.0,0.888889,0.888889,0.0,0.826586,0.826586,0.0,0.978417,0.978417,0.0,0.0,0.0,0.0,manufacturing
gemma4:26b,original,neutral-identifiers,200,0,0.933835,0.839913,-0.093922,0.967312,0.932219,-0.035093,1.0,0.566666,-0.433334,0.957031,0.946902,-0.010129,0.743571,0.759921,0.01635,0.99375,0.9789,-0.01485,0.907181,0.907977,0.000796,0.0,0.0,0.0,manufacturing
threshold,original,neutral-identifiers,200,0,0.808344,0.712454,-0.09589,0.842679,0.842679,0.0,0.730833,0.588333,-0.1425,0.729664,0.505032,-0.224632,0.888889,0.888889,0.0,0.857012,0.857012,0.0,0.978417,0.978417,0.0,0.0,0.0,0.0,microservice
gemma4:26b,original,neutral-identifiers,200,0,0.912127,0.919467,0.00734,0.881795,0.891217,0.009422,1.0,1.0,0.0,0.938249,0.9516,0.013351,0.721746,0.739385,0.017639,0.99375,0.9871,-0.00665,0.907457,0.906866,-0.000591,0.0,0.0,0.0,microservice
threshold,original,neutral-identifiers,200,0,0.682776,0.679076,-0.0037,0.507228,0.507228,0.0,0.648666,0.553666,-0.095,0.552719,0.599518,0.046799,0.888889,0.888889,0.0,0.799682,0.812282,0.0126,0.978417,0.978417,0.0,0.0,0.0,0.0,water_grid
gemma4:26b,original,neutral-identifiers,200,0,0.956482,0.955924,-0.000558,1.0,1.0,0.0,1.0,1.0,0.0,0.982674,0.982674,0.0,0.813691,0.810972,-0.002719,0.994167,0.9889,-0.005267,0.902091,0.905858,0.003767,0.0,0.0,0.0,water_grid
threshold,original,neutral-identifiers,1000,0.0,0.766981,0.685702,-0.081279,0.630391,0.630391,0.0,0.773433,0.544333,-0.2291,0.6755,0.561984,-0.113516,0.888889,0.888889,0.0,0.839108,0.825068,-0.01404,0.978417,0.978417,0.0,0.0,0.0,0.0,aggregate
gemma4:26b,original,neutral-identifiers,1000,0.0,0.937254,0.913719,-0.023535,0.937305,0.913148,-0.024157,1.0,0.913333,-0.086667,0.957937,0.95389,-0.004047,0.796906,0.790339,-0.006567,0.992762,0.98629,-0.006472,0.904649,0.907328,0.002679,0.0,0.0,0.0,aggregate
