left,right,n,mean_delta,delta_ci_low,delta_ci_high,paired_cohens_dz,paired_delta_sd
oracle,topology_rca,2500,0.176478,0.17087,0.182549,1.191898,0.148065
oracle,threshold,2500,0.229701,0.22345,0.236389,1.379989,0.166451
oracle,random,2500,0.521075,0.515382,0.526528,3.649111,0.142795
oracle,noop,2500,0.84061,0.840521,0.8407,365.362218,0.002301
topology_rca,threshold,2500,0.053223,0.046819,0.059574,0.318545,0.167082
topology_rca,random,2500,0.344597,0.336061,0.352404,1.663666,0.207131
topology_rca,noop,2500,0.664131,0.658148,0.669696,4.4922,0.147841
threshold,random,2500,0.291375,0.282427,0.299305,1.324193,0.22004
threshold,noop,2500,0.610909,0.604259,0.617426,3.680764,0.165973
random,noop,2500,0.319534,0.313991,0.32533,2.238929,0.142717
