domain,left,right,n,mean_delta,paired_bootstrap_p
bioprocess,oracle,topology_rca,500,0.127904,0.0
bioprocess,oracle,threshold,500,0.311396,0.0
bioprocess,oracle,random,500,0.530528,0.0
bioprocess,oracle,noop,500,0.842296,0.0
bioprocess,topology_rca,threshold,500,0.183492,0.0
bioprocess,topology_rca,random,500,0.402624,0.0
bioprocess,topology_rca,noop,500,0.714392,0.0
bioprocess,threshold,random,500,0.219132,0.0
bioprocess,threshold,noop,500,0.5309,0.0
bioprocess,random,noop,500,0.311768,0.0
hvac,oracle,topology_rca,500,0.109398,0.0
hvac,oracle,threshold,500,0.135292,0.0
hvac,oracle,random,500,0.521152,0.0
hvac,oracle,noop,500,0.837418,0.0
hvac,topology_rca,threshold,500,0.025894,0.0
hvac,topology_rca,random,500,0.411754,0.0
hvac,topology_rca,noop,500,0.72802,0.0
hvac,threshold,random,500,0.38586,0.0
hvac,threshold,noop,500,0.702127,0.0
hvac,random,noop,500,0.316266,0.0
manufacturing,oracle,topology_rca,500,0.196224,0.0
manufacturing,oracle,threshold,500,0.207235,0.0
manufacturing,oracle,random,500,0.536644,0.0
manufacturing,oracle,noop,500,0.840528,0.0
manufacturing,topology_rca,threshold,500,0.011011,0.0
manufacturing,topology_rca,random,500,0.34042,0.0
manufacturing,topology_rca,noop,500,0.644304,0.0
manufacturing,threshold,random,500,0.329409,0.0
manufacturing,threshold,noop,500,0.633293,0.0
manufacturing,random,noop,500,0.303884,0.0
microservice,oracle,threshold,500,0.184585,0.0
microservice,oracle,topology_rca,500,0.190446,0.0
microservice,oracle,random,500,0.506173,0.0
microservice,oracle,noop,500,0.841018,0.0
microservice,threshold,topology_rca,500,0.005861,0.0
microservice,threshold,random,500,0.321588,0.0
microservice,threshold,noop,500,0.656432,0.0
microservice,topology_rca,random,500,0.315727,0.0
microservice,topology_rca,noop,500,0.650572,0.0
microservice,random,noop,500,0.334845,0.0
water_grid,oracle,topology_rca,500,0.25842,0.0
water_grid,oracle,threshold,500,0.309997,0.0
water_grid,oracle,random,500,0.510881,0.0
water_grid,oracle,noop,500,0.841788,0.0
water_grid,topology_rca,threshold,500,0.051577,0.0
water_grid,topology_rca,random,500,0.252461,0.0
water_grid,topology_rca,noop,500,0.583368,0.0
water_grid,threshold,random,500,0.200884,0.0
water_grid,threshold,noop,500,0.531791,0.0
water_grid,random,noop,500,0.330907,0.0
