left,right,n,mean_delta,paired_bootstrap_p
gemma4:26b,gemma4:e4b,2500,0.050993,0.0
gemma4:26b,qwen3.5:9b,2500,0.111321,0.0
gemma4:26b,qwen3.5:4b,2500,0.125398,0.0
gemma4:26b,granite4.1:8b,2500,0.27944,0.0
gemma4:26b,granite4.1:3b,2500,0.335694,0.0
gemma4:26b,gemma4:e2b,2500,0.403503,0.0
gemma4:e4b,qwen3.5:9b,2500,0.060328,0.0
gemma4:e4b,qwen3.5:4b,2500,0.074406,0.0
gemma4:e4b,granite4.1:8b,2500,0.228447,0.0
gemma4:e4b,granite4.1:3b,2500,0.284702,0.0
gemma4:e4b,gemma4:e2b,2500,0.35251,0.0
qwen3.5:9b,qwen3.5:4b,2500,0.014078,0.0
qwen3.5:9b,granite4.1:8b,2500,0.168119,0.0
qwen3.5:9b,granite4.1:3b,2500,0.224374,0.0
qwen3.5:9b,gemma4:e2b,2500,0.292182,0.0
qwen3.5:4b,granite4.1:8b,2500,0.154041,0.0
qwen3.5:4b,granite4.1:3b,2500,0.210296,0.0
qwen3.5:4b,gemma4:e2b,2500,0.278104,0.0
granite4.1:8b,granite4.1:3b,2500,0.056255,0.0
granite4.1:8b,gemma4:e2b,2500,0.124063,0.0
granite4.1:3b,gemma4:e2b,2500,0.067808,0.0
