view,count,composite_mean,composite_ci_low,composite_ci_high,detection_mean,root_cause_mean,intervention_mean,evidence_mean,calibration_mean,safety_violations,model
full-view,2500,0.938729,0.937245,0.940308,0.9422443868,1.0,0.9617792052,0.794150854,0.99269384,0,gemma4:26b
no-evidence,2500,0.493258,0.489028,0.497428,0.1004755088,0.8664399744,0.3786983696,0.0406856736,0.9320579999999999,0,gemma4:26b
no-topology,2500,0.934569,0.932454,0.936634,0.92863194,1.0,0.9534823112,0.796270856,0.9924086400000001,0,gemma4:26b
no-manuals,2500,0.94064,0.93886,0.942363,0.9530673639999999,0.99872,0.9635339216000001,0.7926000688,0.9893881800000001,0,gemma4:26b
full-view,100,0.897118,0.892444,0.901304,0.89162115,1.0,0.95263712,0.58376978,0.99375,0,gemma4:e4b
no-evidence,100,0.33476,0.303123,0.364869,0.00500571,0.55666658,0.15316325,0.31857111,0.3692375,0,gemma4:e4b
no-topology,100,0.892691,0.885767,0.898623,0.90267244,0.976,0.95569338,0.56777774,0.9935625,0,gemma4:e4b
no-manuals,100,0.859315,0.843024,0.875258,0.87383314,0.8640000000000001,0.93811446,0.5648809699999999,0.980175,0,gemma4:e4b
full-view,100,0.64428,0.6155,0.67183,0.16399297000000002,0.9739999899999999,0.41293051,0.7384525000000001,0.982952,0,granite4.1:8b
no-evidence,100,0.360317,0.331155,0.388618,0.0,0.64866658,0.17081553,0.031428540000000005,0.815218,0,granite4.1:8b
no-topology,100,0.630768,0.609645,0.654201,0.10877387,1.0,0.37849169000000005,0.72757949,0.9961115,0,granite4.1:8b
no-manuals,100,0.656579,0.631356,0.682554,0.19073380999999998,1.0,0.43851408,0.69662721,0.9951815,0,granite4.1:8b
