track,system,n,safety_violations,composite,detection,root_cause,intervention,evidence,calibration,efficiency
scaffold,oracle,2500,0,0.990363,1.0,1.0,0.978698,1.0,0.9999,0.967633
scaffold,topology_rca,2500,0,0.813884,0.635314,0.84912,0.724626,0.974,0.882097,0.970658
scaffold,threshold,2500,0,0.760662,0.635314,0.76044,0.66136,0.888889,0.836935,0.978417
scaffold,random,2500,1038,0.469287,0.569038,0.476747,0.2206,0.472,0.670051,0.949917
scaffold,noop,2500,0,0.149753,0.0,0.0,0.0,0.0,0.5,0.997533
local-agent,gemma4:26b,2500,0,0.938729,0.942244,1.0,0.961779,0.794151,0.992694,0.904669
local-agent,gemma4:e4b,2500,0,0.887737,0.861424,1.0,0.934324,0.594736,0.984176,0.905976
local-agent,qwen3.5:9b,2500,0,0.827409,0.608479,1.0,0.751604,0.803287,0.99205,0.909576
local-agent,qwen3.5:4b,2500,0,0.813331,0.563361,1.0,0.744117,0.785788,0.967509,0.909726
local-agent,granite4.1:8b,2500,0,0.659289,0.177337,0.978853,0.447746,0.746768,0.98652,0.919273
local-agent,granite4.1:3b,2500,0,0.603035,0.113253,0.909093,0.371484,0.793227,0.818526,0.919463
local-agent,gemma4:e2b,2500,1216,0.535226,0.0008,0.848307,0.223026,0.801754,0.970905,0.906711
