baseline,domain,count,composite_mean,composite_ci_low,composite_ci_high,composite_seed_sd
oracle,bioprocess,500,0.992049,0.99195,0.992153,0.0001390060877443438
oracle,hvac,500,0.987171,0.986979,0.987376,0.00035830519927845475
oracle,manufacturing,500,0.990281,0.99014,0.990405,8.321788780062075e-05
oracle,microservice,500,0.990771,0.990649,0.990902,0.00020863763747219703
oracle,water_grid,500,0.991541,0.991438,0.991641,8.275106567292473e-05
topology_rca,bioprocess,500,0.864145,0.857813,0.869741,0.008242660076381286
topology_rca,hvac,500,0.877773,0.873171,0.882396,0.008079780100186552
topology_rca,manufacturing,500,0.794057,0.778447,0.809442,0.020661249401664968
topology_rca,microservice,500,0.800325,0.787044,0.813654,0.015616119541258341
topology_rca,water_grid,500,0.733121,0.71688,0.749445,0.016434424299636406
threshold,bioprocess,500,0.680653,0.659835,0.700422,0.01836275183760241
threshold,hvac,500,0.85188,0.847379,0.856389,0.007732842564482977
threshold,manufacturing,500,0.783046,0.769423,0.797295,0.019895172559646755
threshold,microservice,500,0.806185,0.793354,0.820131,0.015762239639598177
threshold,water_grid,500,0.681544,0.670564,0.692793,0.014167881540340476
random,bioprocess,500,0.461521,0.448839,0.474585,0.021107129851569813
random,hvac,500,0.466019,0.454176,0.478361,0.014496531400856907
random,manufacturing,500,0.453637,0.442571,0.466081,0.010660669232577765
random,microservice,500,0.484598,0.47177,0.497669,0.012410223766147395
random,water_grid,500,0.48066,0.467911,0.493902,0.011921035576734922
noop,bioprocess,500,0.149753,0.149753,0.149753,0.0
noop,hvac,500,0.149753,0.149753,0.149753,0.0
noop,manufacturing,500,0.149753,0.149753,0.149753,0.0
noop,microservice,500,0.149753,0.149753,0.149753,0.0
noop,water_grid,500,0.149753,0.149753,0.149753,0.0
