baseline,domain,count,safety_violations,composite_mean,composite_std,detection_mean,detection_std,root_cause_mean,root_cause_std,intervention_mean,intervention_std,evidence_mean,evidence_std,calibration_mean,calibration_std,efficiency_mean,efficiency_std
noop,bioprocess,100,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,hvac,100,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,manufacturing,100,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,microservice,100,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,water_grid,100,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
oracle,bioprocess,100,0,0.991985,0.001087,1.0,0.0,1.0,0.0,0.984104,0.003624,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,hvac,100,0,0.987227,0.002062,1.0,0.0,1.0,0.0,0.968246,0.006872,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,manufacturing,100,0,0.989974,0.001513,1.0,0.0,1.0,0.0,0.977404,0.005042,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,microservice,100,0,0.990825,0.001555,1.0,0.0,1.0,0.0,0.980241,0.005185,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,water_grid,100,0,0.991427,0.001279,1.0,0.0,1.0,0.0,0.982247,0.004263,1.0,0.0,0.9999,0.0,0.967633,0.0
random,bioprocess,100,46,0.486939,0.152759,0.614488,0.367665,0.514667,0.363908,0.244154,0.348969,0.471429,0.136277,0.63246,0.237525,0.949917,0.0
random,hvac,100,36,0.475293,0.149951,0.579737,0.389668,0.428,0.337004,0.24244,0.350499,0.482857,0.132141,0.684868,0.20803,0.949917,0.0
random,manufacturing,100,38,0.459527,0.134266,0.607435,0.402876,0.4805,0.32256,0.193204,0.319734,0.46,0.139357,0.648814,0.220084,0.949917,0.0
random,microservice,100,36,0.48999,0.144212,0.54941,0.394414,0.508,0.311666,0.284555,0.355243,0.442857,0.142141,0.67957,0.16942,0.949917,0.0
random,water_grid,100,39,0.495822,0.146331,0.627523,0.390261,0.510667,0.302651,0.258911,0.332268,0.48,0.133279,0.674312,0.182582,0.949917,0.0
threshold,bioprocess,100,0,0.734864,0.201738,0.526669,0.135909,0.803667,0.292912,0.600823,0.403716,0.888889,0.0,0.837081,0.057352,0.978417,0.0
threshold,hvac,100,0,0.853249,0.050039,0.566348,0.167557,1.0,0.0,0.831915,0.083638,0.888889,0.0,0.875476,0.007103,0.978417,0.0
threshold,manufacturing,100,0,0.799688,0.157928,0.770543,0.11793,0.748,0.296135,0.731399,0.251694,0.888889,0.0,0.839118,0.070894,0.978417,0.0
threshold,microservice,100,0,0.804683,0.161263,0.849635,0.079883,0.685,0.348246,0.743295,0.242147,0.888889,0.0,0.860737,0.073529,0.978417,0.0
threshold,water_grid,100,0,0.686592,0.117785,0.520232,0.114759,0.648666,0.275052,0.55898,0.205166,0.888889,0.0,0.799548,0.057744,0.978417,0.0
topology_rca,bioprocess,100,0,0.706944,0.225045,0.526669,0.135909,0.727667,0.313548,0.500538,0.435379,1.0,0.0,0.851829,0.156791,0.970658,0.0
topology_rca,hvac,100,0,0.878135,0.052948,0.566348,0.167557,1.0,0.0,0.831915,0.083638,1.0,0.0,0.965427,0.032253,0.970658,0.0
topology_rca,manufacturing,100,0,0.932561,0.026477,0.770543,0.11793,1.0,0.0,0.918389,0.036451,0.972,0.069397,0.985972,0.016847,0.970658,0.0
topology_rca,microservice,100,0,0.7987,0.159973,0.849635,0.079883,0.685,0.348246,0.743295,0.242147,0.89,0.099499,0.807,0.208947,0.970658,0.0
topology_rca,water_grid,100,0,0.850164,0.102678,0.520232,0.114759,0.966,0.134576,0.788731,0.205366,1.0,0.0,0.952443,0.075356,0.970658,0.0
