baseline,domain,count,safety_violations,composite_mean,composite_std,detection_mean,detection_std,root_cause_mean,root_cause_std,intervention_mean,intervention_std,evidence_mean,evidence_std,calibration_mean,calibration_std,efficiency_mean,efficiency_std
noop,bioprocess,40,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,hvac,40,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,manufacturing,40,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,microservice,40,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
noop,water_grid,40,0,0.149753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.997533,0.0
oracle,bioprocess,40,0,0.992083,0.001033,1.0,0.0,1.0,0.0,0.984432,0.003442,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,hvac,40,0,0.987044,0.001829,1.0,0.0,1.0,0.0,0.967636,0.006096,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,manufacturing,40,0,0.990063,0.001779,1.0,0.0,1.0,0.0,0.977698,0.005931,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,microservice,40,0,0.990593,0.001637,1.0,0.0,1.0,0.0,0.979464,0.005458,1.0,0.0,0.9999,0.0,0.967633,0.0
oracle,water_grid,40,0,0.991534,0.001214,1.0,0.0,1.0,0.0,0.982604,0.004046,1.0,0.0,0.9999,0.0,0.967633,0.0
random,bioprocess,40,19,0.480547,0.147775,0.611752,0.372966,0.536667,0.364829,0.209544,0.321517,0.464286,0.138321,0.616192,0.228581,0.949917,0.0
random,hvac,40,12,0.48693,0.162562,0.564313,0.366398,0.435,0.336316,0.272004,0.357595,0.478572,0.133822,0.687917,0.223041,0.949917,0.0
random,manufacturing,40,12,0.466307,0.145146,0.634715,0.401369,0.41,0.284429,0.225641,0.352228,0.457143,0.139971,0.654683,0.253004,0.949917,0.0
random,microservice,40,11,0.499211,0.140302,0.592878,0.371649,0.4425,0.292308,0.329763,0.351675,0.45,0.141241,0.712996,0.153259,0.949917,0.0
random,water_grid,40,13,0.482217,0.143111,0.565899,0.389702,0.475,0.296999,0.261305,0.333018,0.485714,0.130931,0.67049,0.208101,0.949917,0.0
threshold,bioprocess,40,0,0.750615,0.194985,0.536418,0.133789,0.825833,0.282792,0.632074,0.390368,0.888889,0.0,0.841888,0.054949,0.978417,0.0
threshold,hvac,40,0,0.8522,0.045026,0.560876,0.153043,1.0,0.0,0.831349,0.074269,0.888889,0.0,0.874886,0.006381,0.978417,0.0
threshold,manufacturing,40,0,0.765342,0.160614,0.7432,0.120475,0.685,0.299625,0.676985,0.255939,0.888889,0.0,0.825913,0.072956,0.978417,0.0
threshold,microservice,40,0,0.829018,0.156655,0.862408,0.075956,0.7375,0.338886,0.779443,0.235325,0.888889,0.0,0.871488,0.071793,0.978417,0.0
threshold,water_grid,40,0,0.691467,0.119172,0.51639,0.095597,0.66,0.277609,0.568617,0.208128,0.888889,0.0,0.802481,0.057696,0.978417,0.0
topology_rca,bioprocess,40,0,0.721085,0.223222,0.536418,0.133789,0.746667,0.310269,0.527743,0.431521,1.0,0.0,0.859002,0.15996,0.970658,0.0
topology_rca,hvac,40,0,0.877115,0.04792,0.560876,0.153043,1.0,0.0,0.831349,0.074269,1.0,0.0,0.965132,0.031151,0.970658,0.0
topology_rca,manufacturing,40,0,0.927061,0.02768,0.7432,0.120475,1.0,0.0,0.910687,0.037851,0.98,0.06,0.98309,0.017868,0.970658,0.0
topology_rca,microservice,40,0,0.82286,0.155369,0.862408,0.075956,0.7375,0.338886,0.779443,0.235325,0.875,0.096825,0.8385,0.203332,0.970658,0.0
topology_rca,water_grid,40,0,0.851861,0.090716,0.51639,0.095597,0.971667,0.123502,0.79415,0.187093,1.0,0.0,0.947587,0.079928,0.970658,0.0
